t_s,Cb_mM
519.5,0.244109348985917
520,0.243766819315702
520.5,0.24342477027671
521,0.243083201194529
521.5,0.242742111395691
522,0.242401500207676
522.5,0.242061366958906
523,0.241721710978745
523.5,0.241382531597499
524,0.241043828146414
524.5,0.240705599957672
525,0.240367846364395
525.5,0.24003056670064
526,0.239693760301397
526.5,0.23935742650259
527,0.239021564641076
527.5,0.23868617405464
528,0.238351254081999
528.5,0.238016804062796
529,0.237682823337601
529.5,0.237349311247909
530,0.23701626713614
530.5,0.236683690345636
531,0.23635158022066
531.5,0.236019936106397
532,0.235688757348949
532.5,0.235358043295335
533,0.235027793293492
533.5,0.234698006692272
534,0.234368682841439
534.5,0.23403982109167
535,0.233711420794554
535.5,0.233383481302589
536,0.233056001969183
536.5,0.232728982148648
537,0.232402421196206
537.5,0.232076318467981
538,0.231750673321002
538.5,0.231425485113199
539,0.231100753203403
539.5,0.230776476951346
540,0.230452655717657
540.5,0.230129288863864
541,0.229806375752388
541.5,0.229483915746547
542,0.229161908210552
542.5,0.228840352509505
543,0.228519248009401
543.5,0.228198594077122
544,0.227878390080439
544.5,0.227558635388013
545,0.227239329369387
545.5,0.226920471394991
546,0.226602060836138
546.5,0.226284097065022
547,0.225966579454719
547.5,0.225649507379185
548,0.225332880213253
548.5,0.225016697332635
549,0.224700958113919
549.5,0.224385661934565
550,0.22407080817291
550.5,0.223756396208161
551,0.223442425420397
551.5,0.223128895190566
552,0.222815804900487
552.5,0.222503153932843
553,0.222190941671187
553.5,0.221879167499933
554,0.221567830804362
554.5,0.221256930970615
555,0.220946467385697
555.5,0.220636439437471
556,0.220326846514661
556.5,0.220017688006846
557,0.219708963304463
557.5,0.219400671798806
558,0.219092812882019
558.5,0.218785385947104
559,0.21847839038791
559.5,0.21817182559914
560,0.217865690976344
560.5,0.217559985915922
561,0.21725470981512
561.5,0.21694986207203
562,0.216645442085587
562.5,0.216341449255573
563,0.216037882982609
563.5,0.215734742668158
564,0.215432027714523
564.5,0.215129737524846
565,0.214827871503107
565.5,0.21452642905412
566,0.214225409583536
566.5,0.21392481249784
567,0.213624637204349
567.5,0.213324883111212
568,0.21302554962741
568.5,0.21272663616275
569,0.21242814212787
569.5,0.212130066934233
570,0.21183240999413
570.5,0.211535170720675
571,0.211238348527806
571.5,0.210941942830283
572,0.210645953043688
572.5,0.210350378584423
573,0.210055218869707
573.5,0.209760473317579
574,0.209466141346894
574.5,0.209172222377322
575,0.208878715829348
575.5,0.20858562112427
576,0.208292937684196
576.5,0.208000664932048
577,0.207708802291557
577.5,0.207417349187261
578,0.207126305044506
578.5,0.206835669289446
579,0.206545441349038
579.5,0.206255620651045
580,0.205966206624032
580.5,0.205677198697365
581,0.205388596301213
581.5,0.205100398866541
582,0.204812605825117
582.5,0.204525216609503
583,0.204238230653058
583.5,0.203951647389936
584,0.203665466255086
584.5,0.203379686684249
585,0.203094308113957
585.5,0.202809329981535
586,0.202524751725095
586.5,0.202240572783539
587,0.201956792596555
587.5,0.20167341060462
588,0.201390426248991
588.5,0.201107838971716
589,0.200825648215619
589.5,0.20054385342431
590,0.200262454042179
590.5,0.199981449514394
591,0.199700839286905
591.5,0.199420622806435
592,0.199140799520486
592.5,0.198861368877336
593,0.198582330326035
593.5,0.198303683316407
594,0.198025427299049
594.5,0.197747561725326
595,0.197470086047377
595.5,0.197192999718107
596,0.196916302191188
596.5,0.196639992921061
597,0.19636407136293
597.5,0.196088536972767
598,0.195813389207303
598.5,0.195538627524035
599,0.195264251381219
599.5,0.194990260237872
600,0.194716653553769
600.5,0.194443430789446
601,0.194170591406192
601.5,0.193898134866055
602,0.193626060631836
602.5,0.193354368167091
603,0.193083056936128
603.5,0.192812126404007
604,0.192541576036539
604.5,0.192271405300283
605,0.192001613662548
605.5,0.191732200591391
606,0.191463165555612
606.5,0.191194508024762
607,0.190926227469131
607.5,0.190658323359755
608,0.190390795168412
608.5,0.19012364236762
609,0.189856864430639
609.5,0.189590460831466
610,0.189324431044839
610.5,0.189058774546229
611,0.188793490811847
611.5,0.188528579318637
612,0.188264039544276
612.5,0.187999870967175
613,0.187736073066479
613.5,0.18747264532206
614,0.187209587214522
614.5,0.186946898225198
615,0.186684577836148
615.5,0.186422625530158
616,0.186161040790742
616.5,0.185899823102137
617,0.185638971949305
617.5,0.185378486817928
618,0.185118367194413
618.5,0.184858612565886
619,0.184599222420192
619.5,0.184340196245897
620,0.184081533532282
620.5,0.183823233769346
621,0.183565296447804
621.5,0.183307721059084
622,0.183050507095329
622.5,0.182793654049395
623,0.182537161414848
623.5,0.182281028685966
624,0.182025255357735
